,Fold,MSE_DK,MSE_Wide,MSE_Baseline_DNN,MSE_DK_NX,MSE_Tuner,MAE_DK,MAE_Wide,MAE_Baseline_DNN,MAE_DK_NX,MAE_Tuner,Accuracy_DK,Accuracy_Wide,Accuracy_Baseline_DNN,Accuracy_DK_NX,Accuracy_Tuner
0,1,5.5805792808532715,6.7561726570129395,6.940877914428711,7.433716297149658,5.134399890899658,1.759830117225647,1.9109339714050293,1.855991005897522,2.028263568878174,1.6669559478759766,0.9016393423080444,0.9016393423080444,0.868852436542511,0.868852436542511,0.9180327653884888
1,2,6.181228160858154,6.942618370056152,4.064250946044922,6.488465785980225,5.98147439956665,1.883187174797058,1.8957823514938354,1.463866114616394,1.8865288496017456,1.7411386966705322,0.8360655903816223,0.8032786846160889,0.8360655903816223,0.8196721076965332,0.8032786846160889
2,3,8.264059066772461,5.745976448059082,4.470147609710693,6.5199055671691895,4.121279239654541,2.2105047702789307,1.7179653644561768,1.5948657989501953,1.9463998079299927,1.301387906074524,0.8196721076965332,0.8032786846160889,0.8196721076965332,0.8032786846160889,0.8196721076965332
3,4,4.60323429107666,4.54032564163208,3.6282522678375244,6.694272041320801,4.814709186553955,1.7107762098312378,1.7233861684799194,1.4725947380065918,2.075662136077881,1.6133623123168945,0.8524590134620667,0.868852436542511,0.8852459192276001,0.8524590134620667,0.8360655903816223
4,5,9.780511856079102,8.907485008239746,4.405865669250488,8.429973602294922,8.291268348693848,2.2392454147338867,2.1196885108947754,1.5971925258636475,2.2184057235717773,2.064255475997925,0.8524590134620667,0.868852436542511,0.9180327653884888,0.868852436542511,0.8524590134620667
5,6,4.734447956085205,4.948333263397217,6.4687886238098145,6.744621276855469,6.166253566741943,1.6846553087234497,1.6688636541366577,1.9315412044525146,2.0559041500091553,1.8391530513763428,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
6,7,9.239668846130371,7.537196636199951,6.053860664367676,8.457887649536133,5.571442604064941,2.2159202098846436,1.9598729610443115,1.8199348449707031,2.09684681892395,1.687836766242981,0.9333333373069763,0.949999988079071,0.9166666865348816,0.9333333373069763,0.949999988079071
7,8,7.757120609283447,6.880402565002441,7.808589458465576,7.879380226135254,4.481866836547852,2.2793965339660645,2.211325168609619,2.0549700260162354,2.293781042098999,1.5671523809432983,0.8833333253860474,0.8833333253860474,0.8833333253860474,0.8833333253860474,0.8833333253860474
8,9,6.7989044189453125,6.233633518218994,6.118483543395996,7.906808376312256,4.891664505004883,1.9879854917526245,1.8910366296768188,1.9713470935821533,2.0653645992279053,1.56381356716156,0.8666666746139526,0.8666666746139526,0.8833333253860474,0.8666666746139526,0.8500000238418579
9,10,10.130078315734863,6.29694938659668,5.7332305908203125,10.502486228942871,6.875630855560303,2.5608792304992676,1.9812110662460327,1.7906348705291748,2.6289169788360596,2.031188488006592,0.8333333134651184,0.8166666626930237,0.8166666626930237,0.8166666626930237,0.8333333134651184
